조사년월일,측정지역,일일강수량
20211111,강서구,0
20211110,강서구,0.003
20211109,강서구,0.014
20211108,강서구,0.184
20211107,강서구,0
20211106,강서구,0
20211105,강서구,0
20211104,강서구,0
20211103,강서구,0
20211102,강서구,0
20211101,강서구,0
20211031,강서구,0.006
20211030,강서구,0
20211029,강서구,0
20211028,강서구,0
20211027,강서구,0
20211026,강서구,0
20211025,강서구,0
20211024,강서구,0
20211023,강서구,0
20211022,강서구,0
20211021,강서구,0
20211020,강서구,0
20211019,강서구,0.009
20211018,강서구,0.035
20211017,강서구,0
20211016,강서구,0
20211015,강서구,0
20211014,강서구,0
20211013,강서구,0
20211012,강서구,0
20211010,강서구,0.061
20211009,강서구,0
20211008,강서구,0.012
20211006,강서구,0.02
20211005,강서구,0
20211003,강서구,0
20211002,강서구,0
20211001,강서구,0.13
20210930,강서구,0
20210929,강서구,0.043
20210928,강서구,0.014
20210927,강서구,0
20210926,강서구,0
20210925,강서구,0
20210924,강서구,0
20210923,강서구,0
20210922,강서구,0.009
20210921,강서구,0.412
20210920,강서구,0
20210919,강서구,0
20210918,강서구,0
20210917,강서구,0
20210916,강서구,0
20210915,강서구,0
20210914,강서구,0
20210913,강서구,0
20210912,강서구,0
20210911,강서구,0
20210910,강서구,0
20210908,강서구,0.003
20210907,강서구,0.11
20210906,강서구,0.055
20210905,강서구,0
20210904,강서구,0
20210903,강서구,0
20210902,강서구,0
20210901,강서구,0.003
20210831,강서구,0.403
20210830,강서구,0
20210829,강서구,0.003
20210828,강서구,0
20210827,강서구,0.006
20210826,강서구,0
20210825,강서구,0.003
20210824,강서구,0.049
20210823,강서구,0.061
20210822,강서구,0
20210821,강서구,0.372
20210820,강서구,0.061
20210819,강서구,0
20210818,강서구,0.014
20210816,강서구,0.058
20210815,강서구,0
20210814,강서구,0
20210813,강서구,0
20210812,강서구,0
20210811,강서구,0
20210810,강서구,0
20210809,강서구,0
20210808,강서구,0.006
20210806,강서구,0
20210805,강서구,0
20210804,강서구,0
20210803,강서구,0
20210731,강서구,0
20210730,강서구,0
20210729,강서구,0
20210728,강서구,0.066
20210727,강서구,0
20210726,강서구,0
20210725,강서구,0
20210724,강서구,0
20210723,강서구,0
20210722,강서구,0
20210721,강서구,0
20210720,강서구,0.017
20210719,강서구,0.11
20210718,강서구,0.046
20210717,강서구,0.003
20210716,강서구,0.147
20210715,강서구,0
20210714,강서구,0
20210713,강서구,0
20210712,강서구,0
20210711,강서구,0.006
20210710,강서구,0.009
20210709,강서구,0
20210708,강서구,0.006
20210707,강서구,0.003
20210706,강서구,0
20210705,강서구,0
20210703,강서구,0.3
20210702,강서구,0
20210701,강서구,0
20210629,강서구,0.003
20210628,강서구,0.003
20210627,강서구,0
20210626,강서구,0.009
20210625,강서구,0
20210624,강서구,0
20210623,강서구,0
20210622,강서구,0
20210621,강서구,0
20210620,강서구,0
20210619,강서구,0
20210618,강서구,0.035
20210617,강서구,0
20210616,강서구,0
20210615,강서구,0.012
20210614,강서구,0
20210612,강서구,0
20210611,강서구,0.037
20210610,강서구,0.066
20210609,강서구,0
20210608,강서구,0
20210607,강서구,0
20210606,강서구,0
20210605,강서구,0
20210604,강서구,0
20210603,강서구,0.112
20210602,강서구,0
20210601,강서구,0.014
20210531,강서구,0.012
20210530,강서구,0.17
20210529,강서구,0
20210528,강서구,0.084
20210527,강서구,0.055
20210526,강서구,0.003
20210525,강서구,0.04
20210524,강서구,0
20210523,강서구,0
20210522,강서구,0
20210521,강서구,0.046
20210520,강서구,0.012
20210519,강서구,0
20210518,강서구,0
20210517,강서구,0.012
20210516,강서구,0.346
20210515,강서구,0.107
20210514,강서구,0
20210513,강서구,0
20210512,강서구,0
20210511,강서구,0
20210510,강서구,0
20210509,강서구,0
20210508,강서구,0
20210507,강서구,0.037
20210506,강서구,0
20210505,강서구,0
20210504,강서구,0.184
20210503,강서구,0
20210502,강서구,0.014
20210501,강서구,0.029
20210430,강서구,0.167
20210429,강서구,0.02
20210428,강서구,0.006
20210427,강서구,0.023
20210426,강서구,0
20210425,강서구,0
20210424,강서구,0
20210423,강서구,0
20210422,강서구,0
20210421,강서구,0
20210420,강서구,0
20210419,강서구,0
20210418,강서구,0
20210417,강서구,0
20210416,강서구,0.003
20210415,강서구,0
20210414,강서구,0
20210413,강서구,0.029
20210412,강서구,0.127
20210411,강서구,0
20210410,강서구,0
20210409,강서구,0
20210408,강서구,0
20210407,강서구,0
20210406,강서구,0
20210405,강서구,0
20210404,강서구,0.003
20210403,강서구,0.303
20210402,강서구,0
20210401,강서구,0
20210331,강서구,0
20210330,강서구,0
20210329,강서구,0.003
20210328,강서구,0.04
20210327,강서구,0.112
20210326,강서구,0
20210325,강서구,0
20210324,강서구,0
20210323,강서구,0
20210322,강서구,0
20210321,강서구,0
20210320,강서구,0.023
20210319,강서구,0
20210318,강서구,0
20210317,강서구,0
20210316,강서구,0.003
20210315,강서구,0.003
20210314,강서구,0
20210313,강서구,0
20210312,강서구,0
20210311,강서구,0
20210310,강서구,0
20210309,강서구,0
20210308,강서구,0
20210307,강서구,0
20210306,강서구,0
20210305,강서구,0
20210304,강서구,0
20210303,강서구,0
20210302,강서구,0
20210301,강서구,0.349
20210228,강서구,0
20210227,강서구,0
20210226,강서구,0
20210225,강서구,0
20210224,강서구,0
20210223,강서구,0
20210222,강서구,0
20210221,강서구,0
20210220,강서구,0
20210219,강서구,0
20210218,강서구,0
20210217,강서구,0
20210216,강서구,0.003
20210215,강서구,0.003
20210214,강서구,0
20210213,강서구,0
20210212,강서구,0
20210211,강서구,0
20210210,강서구,0
20210209,강서구,0
20210208,강서구,0
20210207,강서구,0
20210206,강서구,0
20210204,강서구,0
20210203,강서구,0.012
20210202,강서구,0
20210201,강서구,0
20210131,강서구,0
20210130,강서구,0
20210129,강서구,0
20210128,강서구,0.012
20210127,강서구,0
20210126,강서구,0
20210125,강서구,0
20210124,강서구,0
20210123,강서구,0
20210122,강서구,0
20210121,강서구,0.043
20210120,강서구,0
20210119,강서구,0
20210118,강서구,0
20210117,강서구,0
20210116,강서구,0
20210115,강서구,0
20210114,강서구,0
20210113,강서구,0
20210112,강서구,0.003
20210111,강서구,0
20210110,강서구,0
20210109,강서구,0
20210107,강서구,0
20210106,강서구,0
20210105,강서구,0
20210104,강서구,0
20210103,강서구,0
20210102,강서구,0
20210101,강서구,0
