대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2021-09-24,0,21.8,2.2,50,0.008,17,8,13066
2021-09-25,1,21.2,2.3,50,0.018,8,3,13249
2021-09-26,1,22.6,2.3,70,0,8,2,13289
2021-09-27,0,21.6,2.4,70,0.026,11,4,10882
2021-09-28,0,21.5,2.2,50,0,13,5,7304
2021-09-29,0,20.2,1.7,50,0,14,7,4094
2021-09-30,0,20.3,1.5,20,0,21,11,12181
2021-10-01,0,21.1,2.4,270,0,35,19,12137
2021-10-02,1,20.7,1.6,20,0.008,27,16,12514
2021-10-03,1,22.3,1.9,50,0.005,37,24,12809
2021-10-04,1,22.9,2.9,200,0.005,39,21,8320
2021-10-05,0,23.6,3.3,200,0,40,16,10479
2021-10-06,0,18.8,2.8,50,0.029,7,2,6922
2021-10-07,0,19.4,1.9,270,0,17,7,9792
2021-10-08,0,18.8,1.7,50,0,22,12,5676
2021-10-09,1,20.9,2.3,50,0,15,6,11441
2021-10-10,1,19.9,2.2,270,0,23,12,3498
2021-10-11,1,15.2,2.2,50,0.002,28,10,11345
2021-10-12,0,17.9,3.3,70,0,13,3,11194
2021-10-13,0,19.6,2.4,50,0.005,14,4,12373
2021-10-14,0,19.7,2,270,0.018,24,10,12232
2021-10-15,0,19,2.1,340,0,24,12,10497
2021-10-16,1,10.7,3.4,290,0,33,9,7594
2021-10-17,1,5.6,2.9,270,0,23,6,6298
2021-10-18,0,9.6,2,50,0,26,10,7972
2021-10-19,0,10.9,2.4,270,0,28,16,8876
2021-10-20,0,9.5,1.7,270,0,31,16,9633
2021-10-21,0,9.8,1.7,20,0,33,19,9794
2021-10-22,0,10.8,1.8,290,0,39,24,10373
2021-10-23,1,11.4,1.6,270,0,40,23,9817
2021-10-24,1,11.4,1.7,20,0,31,21,9198
2021-10-25,0,11.7,1.9,290,0,33,20,9286
2021-10-26,0,13,1.7,270,0.01,44,26,10183
